               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10258,            0.019872,                   0,           0.0025616,             0.75362,           0.0065767,           0.0014802,            0.074995,            0.013218,                   0,            0.070714,            0.003254,            0.003254
                   1,            0.075607,            0.017846,                   0,             0.66748,             0.50426,              0.6134,             0.21211,            0.065181,           0.0096704,                   0,            0.040649,           0.0065221,           0.0065221
                   2,            0.062791,            0.017308,                   0,             0.68253,             0.64251,             0.73421,             0.37014,            0.062738,           0.0084791,                   0,            0.010518,           0.0097242,           0.0097242
                   3,            0.054136,            0.016186,                   0,             0.80887,             0.67467,             0.75897,             0.24862,            0.051601,           0.0083277,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.047699,            0.014561,                   0,             0.88471,             0.85264,             0.91935,             0.40462,            0.038949,           0.0075264,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.044613,            0.012003,                   0,             0.80113,             0.93237,             0.89358,             0.49504,            0.035264,           0.0063973,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.042111,            0.010721,                   0,             0.90995,             0.88406,             0.91439,             0.32538,            0.042873,           0.0054359,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.039371,           0.0092543,                   0,             0.92311,             0.98591,             0.98022,             0.48415,            0.035491,           0.0050401,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.039101,            0.008851,                   0,             0.94721,             0.95358,             0.96922,             0.55498,             0.03176,           0.0046627,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.038141,           0.0083392,                   0,             0.96847,              0.8744,              0.9684,             0.48199,            0.036987,           0.0046672,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.035671,           0.0073571,                   0,             0.97243,             0.94686,             0.98453,             0.55571,            0.032301,           0.0042384,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.035072,           0.0071088,                   0,              0.9573,             0.97478,              0.9896,             0.58626,             0.03137,           0.0042069,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.033954,           0.0073139,                   0,             0.96022,             0.95169,             0.98781,             0.56902,            0.032336,           0.0041816,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.033488,           0.0072281,                   0,              0.9803,             0.95652,             0.99095,             0.61441,            0.028056,           0.0040021,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.03434,           0.0069902,                   0,              0.9894,             0.97101,              0.9901,             0.54339,            0.030138,           0.0039278,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.032319,           0.0070006,                   0,             0.98529,             0.97078,             0.99014,             0.57368,            0.028676,           0.0039062,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.031281,           0.0063283,                   0,             0.99015,             0.97105,             0.99342,             0.64021,            0.027137,           0.0037484,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.029728,           0.0065671,                   0,             0.98914,             0.96618,             0.98983,             0.60603,             0.02832,           0.0037776,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.030477,           0.0064703,                   0,             0.98727,             0.97585,             0.99322,             0.60762,            0.029436,           0.0037103,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.029478,           0.0064096,                   0,             0.98516,             0.96218,             0.99283,             0.62543,            0.028894,           0.0037213,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.029098,           0.0064055,                   0,             0.96619,             0.96634,             0.98614,              0.6198,            0.027157,           0.0038881,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.029336,           0.0064917,                   0,               0.992,             0.97585,             0.99088,              0.6185,            0.027884,           0.0036562,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.028729,           0.0065565,                   0,             0.98535,             0.97496,             0.98798,             0.63912,            0.025592,           0.0036374,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.027943,           0.0063094,                   0,             0.97726,             0.97585,             0.99163,             0.63741,            0.026019,           0.0036595,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.028275,           0.0060562,                   0,              0.9902,             0.97576,              0.9893,             0.62918,            0.026078,            0.003622,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.02832,           0.0061649,                   0,              0.9855,             0.98514,             0.99263,             0.59866,            0.028758,           0.0037157,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.026907,           0.0057907,                   0,             0.98946,             0.97585,             0.99011,             0.63438,            0.026653,           0.0036878,                   0,            0.007525,            0.007525,            0.007525
